'Elapsed time','ECG'
'0:02.640',0.920
'0:02.645',1.000
'0:02.650',0.920
'0:02.655',0.960
'0:02.660',0.960
'0:02.665',0.920
'0:02.670',0.960
'0:02.675',0.960
'0:02.680',0.960
'0:02.685',0.960
'0:02.690',0.920
'0:02.695',0.960
'0:02.700',0.920
'0:02.705',0.960
'0:02.710',1.000
'0:02.715',1.000
'0:02.720',1.000
'0:02.725',1.000
'0:02.730',1.040
'0:02.735',1.040
'0:02.740',1.080
'0:02.745',1.120
'0:02.750',1.120
'0:02.755',1.160
'0:02.760',1.120
'0:02.765',1.120
'0:02.770',1.120
'0:02.775',1.160
'0:02.780',1.160
'0:02.785',1.160
'0:02.790',1.200
'0:02.795',1.120
'0:02.800',1.160
'0:02.805',1.160
'0:02.810',1.120
'0:02.815',1.120
'0:02.820',1.120
'0:02.825',1.120
'0:02.830',1.120
'0:02.835',1.120
'0:02.840',1.120
'0:02.845',1.160
'0:02.850',1.120
'0:02.855',1.120
'0:02.860',1.080
'0:02.865',1.120
'0:02.870',1.120
'0:02.875',1.080
'0:02.880',1.120
'0:02.885',1.160
'0:02.890',1.160
'0:02.895',1.120
'0:02.900',1.120
'0:02.905',1.120
'0:02.910',1.120
'0:02.915',1.080
'0:02.920',1.080
'0:02.925',1.080
'0:02.930',1.120
'0:02.935',1.160
'0:02.940',1.120
'0:02.945',1.120
'0:02.950',1.080
'0:02.955',1.120
'0:02.960',1.120
'0:02.965',1.160
'0:02.970',1.120
'0:02.975',1.160
'0:02.980',1.120
'0:02.985',1.120
'0:02.990',1.120
'0:02.995',1.120
'0:03.000',1.120
'0:03.005',1.120
'0:03.010',1.120
'0:03.015',1.160
'0:03.020',1.160
'0:03.025',1.120
'0:03.030',1.160
'0:03.035',1.120
'0:03.040',1.120
'0:03.045',1.120
'0:03.050',1.120
'0:03.055',1.120
'0:03.060',1.160
'0:03.065',1.120
'0:03.070',1.120
'0:03.075',1.120
'0:03.080',1.120
'0:03.085',1.080
'0:03.090',1.120
'0:03.095',1.120
'0:03.100',1.120
'0:03.105',1.160
'0:03.110',1.120
'0:03.115',1.160
'0:03.120',1.120
'0:03.125',1.120
'0:03.130',1.120
'0:03.135',1.160
'0:03.140',1.120
'0:03.145',1.120
'0:03.150',1.160
'0:03.155',1.080
'0:03.160',1.120
'0:03.165',1.080
'0:03.170',1.120
'0:03.175',1.120
'0:03.180',1.080
'0:03.185',1.080
'0:03.190',1.080
'0:03.195',1.040
'0:03.200',1.080
'0:03.205',1.120
'0:03.210',1.200
'0:03.215',1.200
'0:03.220',1.200
'0:03.225',1.200
'0:03.230',1.200
'0:03.235',1.200
'0:03.240',1.200
'0:03.245',1.200
'0:03.250',1.200
'0:03.255',1.120
'0:03.260',1.120
'0:03.265',1.160
'0:03.270',1.120
'0:03.275',1.120
'0:03.280',1.120
'0:03.285',1.080
'0:03.290',1.120
'0:03.295',1.120
'0:03.300',1.080
'0:03.305',1.080
'0:03.310',1.080
'0:03.315',1.080
'0:03.320',1.080
'0:03.325',1.080
'0:03.330',1.080
'0:03.335',1.120
'0:03.340',1.120
'0:03.345',1.120
'0:03.350',1.080
'0:03.355',1.040
'0:03.360',1.080
'0:03.365',1.200
'0:03.370',1.360
'0:03.375',1.560
'0:03.380',1.800
'0:03.385',2.040
'0:03.390',2.200
'0:03.395',2.000
'0:03.400',1.960
'0:03.405',1.560
'0:03.410',1.280
'0:03.415',1.120
'0:03.420',1.000
'0:03.425',1.000
'0:03.430',0.960
'0:03.435',0.960
'0:03.440',0.920
'0:03.445',0.920
'0:03.450',0.920
'0:03.455',0.920
'0:03.460',0.960
'0:03.465',0.920
'0:03.470',0.960
'0:03.475',0.960
'0:03.480',0.960
'0:03.485',0.960
'0:03.490',0.960
'0:03.495',0.960
'0:03.500',0.960
'0:03.505',0.920
'0:03.510',0.960
'0:03.515',1.000
'0:03.520',0.960
'0:03.525',0.920
'0:03.530',0.960
'0:03.535',0.960
'0:03.540',0.960
'0:03.545',1.000
'0:03.550',0.960
'0:03.555',0.960
'0:03.560',1.000
'0:03.565',0.960
'0:03.570',1.000
'0:03.575',1.000
'0:03.580',1.000
'0:03.585',1.000
'0:03.590',1.000
'0:03.595',0.960
'0:03.600',1.000
'0:03.605',0.960
'0:03.610',0.960
'0:03.615',0.960
'0:03.620',1.000
'0:03.625',1.000
'0:03.630',0.960
'0:03.635',0.960
'0:03.640',1.000
'0:03.645',0.960
'0:03.650',0.960
'0:03.655',0.960
'0:03.660',0.920
'0:03.665',0.960
'0:03.670',0.960
'0:03.675',0.960
'0:03.680',0.920
'0:03.685',0.960
'0:03.690',1.000
'0:03.695',0.960
'0:03.700',0.960
'0:03.705',1.000
'0:03.710',1.040
'0:03.715',1.000
'0:03.720',1.040
'0:03.725',1.080
'0:03.730',1.120
'0:03.735',1.080
'0:03.740',1.120
'0:03.745',1.120
'0:03.750',1.120
'0:03.755',1.120
'0:03.760',1.120
'0:03.765',1.120
'0:03.770',1.120
'0:03.775',1.120
'0:03.780',1.120
'0:03.785',1.120
'0:03.790',1.120
'0:03.795',1.120
'0:03.800',1.120
'0:03.805',1.120
'0:03.810',1.120
'0:03.815',1.120
'0:03.820',1.080
'0:03.825',1.120
'0:03.830',1.080
'0:03.835',1.120
'0:03.840',1.120
'0:03.845',1.120
'0:03.850',1.120
'0:03.855',1.120
'0:03.860',1.080
'0:03.865',1.120
'0:03.870',1.080
'0:03.875',1.120
'0:03.880',1.120
'0:03.885',1.120
'0:03.890',1.160
'0:03.895',1.120
'0:03.900',1.120
'0:03.905',1.080
'0:03.910',1.120
'0:03.915',1.120
'0:03.920',1.120
'0:03.925',1.080
'0:03.930',1.120
'0:03.935',1.160
'0:03.940',1.160
'0:03.945',1.120
'0:03.950',1.120
'0:03.955',1.120
'0:03.960',1.120
'0:03.965',1.120
'0:03.970',1.120
'0:03.975',1.080
'0:03.980',1.160
'0:03.985',1.120
'0:03.990',1.120
'0:03.995',1.160
'0:04.000',1.120
'0:04.005',1.120
'0:04.010',1.120
'0:04.015',1.120
'0:04.020',1.160
'0:04.025',1.120
'0:04.030',1.120
'0:04.035',1.120
'0:04.040',1.160
'0:04.045',1.160
'0:04.050',1.160
'0:04.055',1.160
'0:04.060',1.160
'0:04.065',1.120
'0:04.070',1.160
'0:04.075',1.120
'0:04.080',1.120
'0:04.085',1.120
'0:04.090',1.160
'0:04.095',1.120
'0:04.100',1.160
'0:04.105',1.120
'0:04.110',1.120
'0:04.115',1.120
'0:04.120',1.160
'0:04.125',1.160
'0:04.130',1.120
'0:04.135',1.120
'0:04.140',1.120
'0:04.145',1.120
'0:04.150',1.160
'0:04.155',1.120
'0:04.160',1.080
'0:04.165',1.120
'0:04.170',1.160
'0:04.175',1.120
'0:04.180',1.120
'0:04.185',1.120
'0:04.190',1.120
'0:04.195',1.120
'0:04.200',1.120
'0:04.205',1.080
'0:04.210',1.080
'0:04.215',1.080
'0:04.220',1.120
'0:04.225',1.200
'0:04.230',1.200
'0:04.235',1.200
'0:04.240',1.240
'0:04.245',1.200
'0:04.250',1.160
'0:04.255',1.200
'0:04.260',1.160
'0:04.265',1.200
'0:04.270',1.120
'0:04.275',1.120
'0:04.280',1.120
'0:04.285',1.080
'0:04.290',1.120
'0:04.295',1.080
'0:04.300',1.120
'0:04.305',1.080
'0:04.310',1.120
'0:04.315',1.080
'0:04.320',1.120
'0:04.325',1.080
'0:04.330',1.080
'0:04.335',1.120
'0:04.340',1.080
'0:04.345',1.080
'0:04.350',1.120
'0:04.355',1.080
'0:04.360',1.080
'0:04.365',1.080
'0:04.370',1.080
'0:04.375',1.080
'0:04.380',1.120
'0:04.385',1.240
'0:04.390',1.480
'0:04.395',1.720
'0:04.400',1.800
'0:04.405',2.120
'0:04.410',2.120
'0:04.415',2.000
'0:04.420',1.800
'0:04.425',1.440
'0:04.430',1.240
'0:04.435',1.080
'0:04.440',1.000
'0:04.445',0.960
'0:04.450',0.960
'0:04.455',0.920
'0:04.460',0.920
'0:04.465',0.960
'0:04.470',0.960
'0:04.475',0.960
'0:04.480',0.960
'0:04.485',0.960
'0:04.490',0.960
'0:04.495',0.960
'0:04.500',0.960
'0:04.505',0.960
'0:04.510',0.960
'0:04.515',0.960
'0:04.520',0.960
'0:04.525',0.960
'0:04.530',0.960
'0:04.535',0.960
'0:04.540',0.960
'0:04.545',0.960
'0:04.550',0.960
'0:04.555',0.960
'0:04.560',0.960
'0:04.565',1.000
'0:04.570',1.000
'0:04.575',1.000
'0:04.580',1.000
'0:04.585',0.960
'0:04.590',1.000
'0:04.595',0.960
'0:04.600',1.000
'0:04.605',1.000
'0:04.610',0.960
'0:04.615',1.000
'0:04.620',1.000
'0:04.625',1.000
'0:04.630',1.000
'0:04.635',0.960
'0:04.640',1.000
'0:04.645',0.960
'0:04.650',0.960
'0:04.655',1.000
'0:04.660',1.000
'0:04.665',0.920
'0:04.670',0.960
'0:04.675',0.960
'0:04.680',0.960
'0:04.685',0.920
'0:04.690',0.920
'0:04.695',0.960
'0:04.700',0.920
'0:04.705',0.920
'0:04.710',0.960
'0:04.715',0.920
'0:04.720',1.000
'0:04.725',1.000
'0:04.730',1.040
'0:04.735',1.000
'0:04.740',1.040
'0:04.745',1.080
'0:04.750',1.040
'0:04.755',1.120
'0:04.760',1.080
'0:04.765',1.120
'0:04.770',1.080
'0:04.775',1.080
'0:04.780',1.120
'0:04.785',1.080
'0:04.790',1.080
'0:04.795',1.080
'0:04.800',1.080
'0:04.805',1.120
'0:04.810',1.080
'0:04.815',1.080
'0:04.820',1.120
'0:04.825',1.080
'0:04.830',1.120
'0:04.835',1.080
'0:04.840',1.080
'0:04.845',1.120
'0:04.850',1.080
'0:04.855',1.080
'0:04.860',1.120
'0:04.865',1.080
'0:04.870',1.080
'0:04.875',1.080
'0:04.880',1.080
'0:04.885',1.120
'0:04.890',1.080
'0:04.895',1.080
'0:04.900',1.080
'0:04.905',1.080
'0:04.910',1.080
'0:04.915',1.080
'0:04.920',1.080
'0:04.925',1.120
'0:04.930',1.080
'0:04.935',1.120
'0:04.940',1.120
'0:04.945',1.120
'0:04.950',1.080
'0:04.955',1.120
'0:04.960',1.120
'0:04.965',1.120
'0:04.970',1.120
'0:04.975',1.120
'0:04.980',1.120
'0:04.985',1.080
'0:04.990',1.120
'0:04.995',1.080
'0:05.000',1.120
'0:05.005',1.120
'0:05.010',1.120
'0:05.015',1.120
'0:05.020',1.120
'0:05.025',1.120
'0:05.030',1.120
'0:05.035',1.080
'0:05.040',1.160
'0:05.045',1.080
'0:05.050',1.120
'0:05.055',1.080
'0:05.060',1.120
'0:05.065',1.120
'0:05.070',1.120
'0:05.075',1.080
'0:05.080',1.120
'0:05.085',1.120
'0:05.090',1.120
'0:05.095',1.080
'0:05.100',1.120
'0:05.105',1.080
'0:05.110',1.120
'0:05.115',1.120
'0:05.120',1.120
'0:05.125',1.120
'0:05.130',1.120
'0:05.135',1.120
'0:05.140',1.080
'0:05.145',1.080
'0:05.150',1.120
'0:05.155',1.080
'0:05.160',1.080
'0:05.165',1.080
'0:05.170',1.160
'0:05.175',1.120
'0:05.180',1.080
'0:05.185',1.120
'0:05.190',1.080
'0:05.195',1.080
'0:05.200',1.120
'0:05.205',1.120
'0:05.210',1.120
'0:05.215',1.120
'0:05.220',1.120
'0:05.225',1.080
'0:05.230',1.080
'0:05.235',1.080
'0:05.240',1.120
'0:05.245',1.120
'0:05.250',1.160
'0:05.255',1.160
'0:05.260',1.200
'0:05.265',1.160
'0:05.270',1.160
'0:05.275',1.120
'0:05.280',1.200
'0:05.285',1.120
'0:05.290',1.160
'0:05.295',1.120
'0:05.300',1.120
'0:05.305',1.080
'0:05.310',1.080
'0:05.315',1.120
'0:05.320',1.120
'0:05.325',1.080
'0:05.330',1.040
'0:05.335',1.080
'0:05.340',1.080
'0:05.345',1.080
'0:05.350',1.080
'0:05.355',1.080
'0:05.360',1.080
'0:05.365',1.080
'0:05.370',1.080
'0:05.375',1.120
'0:05.380',1.080
'0:05.385',1.080
'0:05.390',1.040
'0:05.395',1.040
'0:05.400',1.080
'0:05.405',1.200
'0:05.410',1.400
'0:05.415',1.600
'0:05.420',1.720
'0:05.425',1.960
'0:05.430',2.040
'0:05.435',2.000
'0:05.440',1.800
'0:05.445',1.480
'0:05.450',1.200
'0:05.455',1.200
'0:05.460',1.040
'0:05.465',1.000
'0:05.470',0.960
'0:05.475',0.960
'0:05.480',0.960
'0:05.485',0.920
'0:05.490',0.920
'0:05.495',0.920
'0:05.500',0.920
'0:05.505',1.000
'0:05.510',0.960
'0:05.515',0.960
'0:05.520',1.000
'0:05.525',0.960
'0:05.530',1.000
'0:05.535',0.960
'0:05.540',0.960
'0:05.545',1.040
'0:05.550',1.000
'0:05.555',1.000
'0:05.560',0.960
'0:05.565',1.040
'0:05.570',1.040
'0:05.575',1.000
'0:05.580',1.000
'0:05.585',1.000
'0:05.590',1.000
'0:05.595',1.000
'0:05.600',1.000
'0:05.605',1.040
'0:05.610',1.000
'0:05.615',1.000
'0:05.620',1.040
'0:05.625',1.000
'0:05.630',1.040
'0:05.635',1.040
'0:05.640',1.040
'0:05.645',1.040
'0:05.650',1.000
'0:05.655',1.040
'0:05.660',1.000
'0:05.665',1.000
'0:05.670',1.000
'0:05.675',1.040
'0:05.680',1.000
'0:05.685',1.000
'0:05.690',1.000
'0:05.695',1.000
'0:05.700',1.000
'0:05.705',1.040
'0:05.710',1.000
'0:05.715',1.000
'0:05.720',1.040
'0:05.725',1.040
'0:05.730',1.040
'0:05.735',1.000
'0:05.740',1.040
'0:05.745',1.040
'0:05.750',1.080
'0:05.755',1.080
'0:05.760',1.080
'0:05.765',1.120
'0:05.770',1.120
'0:05.775',1.120
'0:05.780',1.120
'0:05.785',1.160
'0:05.790',1.160
'0:05.795',1.160
'0:05.800',1.120
'0:05.805',1.120
'0:05.810',1.080
'0:05.815',1.120
'0:05.820',1.080
'0:05.825',1.120
'0:05.830',1.080
'0:05.835',1.080
'0:05.840',1.080
'0:05.845',1.120
'0:05.850',1.120
'0:05.855',1.120
'0:05.860',1.080
'0:05.865',1.120
'0:05.870',1.040
'0:05.875',1.080
'0:05.880',1.080
'0:05.885',1.080
'0:05.890',1.080
'0:05.895',1.120
'0:05.900',1.120
'0:05.905',1.120
'0:05.910',1.120
'0:05.915',1.120
'0:05.920',1.080
'0:05.925',1.080
'0:05.930',1.120
'0:05.935',1.160
'0:05.940',1.120
'0:05.945',1.120
'0:05.950',1.120
'0:05.955',1.120
'0:05.960',1.160
'0:05.965',1.160
'0:05.970',1.120
'0:05.975',1.120
'0:05.980',1.160
'0:05.985',1.120
'0:05.990',1.160
'0:05.995',1.120
'0:06.000',1.160
'0:06.005',1.120
'0:06.010',1.160
'0:06.015',1.160
'0:06.020',1.120
'0:06.025',1.120
'0:06.030',1.160
'0:06.035',1.160
'0:06.040',1.120
'0:06.045',1.120
'0:06.050',1.160
'0:06.055',1.160
'0:06.060',1.160
'0:06.065',1.120
'0:06.070',1.120
'0:06.075',1.120
'0:06.080',1.120
'0:06.085',1.120
'0:06.090',1.120
'0:06.095',1.120
'0:06.100',1.120
'0:06.105',1.160
'0:06.110',1.120
'0:06.115',1.160
'0:06.120',1.120
'0:06.125',1.120
'0:06.130',1.120
'0:06.135',1.120
'0:06.140',1.120
'0:06.145',1.160
'0:06.150',1.160
'0:06.155',1.120
'0:06.160',1.120
'0:06.165',1.120
'0:06.170',1.120
'0:06.175',1.120
'0:06.180',1.120
'0:06.185',1.120
'0:06.190',1.120
'0:06.195',1.160
'0:06.200',1.200
'0:06.205',1.160
'0:06.210',1.200
'0:06.215',1.160
'0:06.220',1.200
'0:06.225',1.160
'0:06.230',1.160
'0:06.235',1.240
'0:06.240',1.240
'0:06.245',1.200
'0:06.250',1.160
'0:06.255',1.160
'0:06.260',1.160
'0:06.265',1.120
'0:06.270',1.120
'0:06.275',1.160
'0:06.280',1.120
'0:06.285',1.160
'0:06.290',1.160
'0:06.295',1.120
'0:06.300',1.120
'0:06.305',1.120
'0:06.310',1.120
'0:06.315',1.120
'0:06.320',1.120
'0:06.325',1.120
'0:06.330',1.120
'0:06.335',1.120
