'Elapsed time','ECG'
'0:01.590',7.000
'0:01.595',7.100
'0:01.600',7.100
'0:01.605',6.900
'0:01.610',7.200
'0:01.615',7.300
'0:01.620',7.300
'0:01.625',7.200
'0:01.630',7.000
'0:01.635',7.300
'0:01.640',7.400
'0:01.645',7.200
'0:01.650',7.200
'0:01.655',7.100
'0:01.660',7.200
'0:01.665',7.200
'0:01.670',7.300
'0:01.675',7.300
'0:01.680',7.300
'0:01.685',7.200
'0:01.690',7.200
'0:01.695',7.200
'0:01.700',7.400
'0:01.705',7.200
'0:01.710',7.600
'0:01.715',7.300
'0:01.720',7.100
'0:01.725',7.200
'0:01.730',7.200
'0:01.735',7.100
'0:01.740',7.300
'0:01.745',7.300
'0:01.750',7.200
'0:01.755',7.400
'0:01.760',7.100
'0:01.765',7.400
'0:01.770',7.600
'0:01.775',7.600
'0:01.780',7.300
'0:01.785',7.400
'0:01.790',7.400
'0:01.795',7.000
'0:01.800',6.700
'0:01.805',6.800
'0:01.810',7.300
'0:01.815',7.600
'0:01.820',7.600
'0:01.825',7.700
'0:01.830',7.500
'0:01.835',7.300
'0:01.840',7.200
'0:01.845',7.200
'0:01.850',7.400
'0:01.855',7.500
'0:01.860',7.500
'0:01.865',7.100
'0:01.870',6.900
'0:01.875',7.000
'0:01.880',7.100
'0:01.885',7.100
'0:01.890',7.000
'0:01.895',6.900
'0:01.900',6.900
'0:01.905',6.800
'0:01.910',7.100
'0:01.915',7.100
'0:01.920',7.200
'0:01.925',7.300
'0:01.930',7.500
'0:01.935',8.100
'0:01.940',8.700
'0:01.945',8.800
'0:01.950',8.300
'0:01.955',7.300
'0:01.960',6.800
'0:01.965',7.000
'0:01.970',6.800
'0:01.975',6.900
'0:01.980',6.800
'0:01.985',6.900
'0:01.990',7.000
'0:01.995',7.000
'0:02.000',7.000
'0:02.005',6.900
'0:02.010',7.100
'0:02.015',7.200
'0:02.020',7.000
'0:02.025',7.000
'0:02.030',6.900
'0:02.035',6.900
'0:02.040',6.900
'0:02.045',6.900
'0:02.050',6.800
'0:02.055',6.700
'0:02.060',6.600
'0:02.065',6.600
'0:02.070',6.500
'0:02.075',6.600
'0:02.080',6.600
'0:02.085',6.700
'0:02.090',6.700
'0:02.095',6.700
'0:02.100',6.700
'0:02.105',6.600
'0:02.110',6.600
'0:02.115',6.700
'0:02.120',6.700
'0:02.125',6.700
'0:02.130',6.800
'0:02.135',6.600
'0:02.140',6.600
'0:02.145',6.900
'0:02.150',6.800
'0:02.155',6.600
'0:02.160',6.600
'0:02.165',6.600
'0:02.170',6.800
'0:02.175',6.700
'0:02.180',6.800
'0:02.185',6.800
'0:02.190',6.700
'0:02.195',6.800
'0:02.200',6.800
'0:02.205',6.800
'0:02.210',6.800
'0:02.215',6.600
'0:02.220',6.700
'0:02.225',6.800
'0:02.230',6.700
'0:02.235',6.800
'0:02.240',6.700
'0:02.245',6.800
'0:02.250',6.700
'0:02.255',6.800
'0:02.260',6.700
'0:02.265',6.700
'0:02.270',6.700
'0:02.275',7.000
'0:02.280',6.800
'0:02.285',6.700
'0:02.290',6.700
'0:02.295',6.900
'0:02.300',6.800
'0:02.305',6.800
'0:02.310',6.800
'0:02.315',6.800
'0:02.320',6.800
'0:02.325',6.800
'0:02.330',6.800
'0:02.335',6.900
'0:02.340',6.800
'0:02.345',7.000
'0:02.350',6.700
'0:02.355',6.800
'0:02.360',6.800
'0:02.365',7.000
'0:02.370',7.000
'0:02.375',6.900
'0:02.380',6.800
'0:02.385',6.900
'0:02.390',6.800
'0:02.395',6.700
'0:02.400',6.900
'0:02.405',6.900
'0:02.410',7.000
'0:02.415',7.000
'0:02.420',7.000
'0:02.425',7.200
'0:02.430',7.100
'0:02.435',7.000
'0:02.440',7.100
'0:02.445',7.200
'0:02.450',7.100
'0:02.455',6.800
'0:02.460',7.000
'0:02.465',7.200
'0:02.470',7.100
'0:02.475',7.100
'0:02.480',6.900
'0:02.485',7.000
'0:02.490',7.100
'0:02.495',7.000
'0:02.500',6.900
'0:02.505',7.000
'0:02.510',6.900
'0:02.515',7.000
'0:02.520',6.900
'0:02.525',7.000
'0:02.530',7.000
'0:02.535',6.900
'0:02.540',7.200
'0:02.545',7.800
'0:02.550',8.300
'0:02.555',8.800
'0:02.560',8.700
'0:02.565',7.700
'0:02.570',7.000
'0:02.575',7.000
'0:02.580',7.100
'0:02.585',6.800
'0:02.590',6.900
'0:02.595',6.900
'0:02.600',6.800
'0:02.605',6.900
'0:02.610',7.000
'0:02.615',6.900
'0:02.620',6.800
'0:02.625',7.000
'0:02.630',6.900
'0:02.635',6.800
'0:02.640',6.900
'0:02.645',6.900
'0:02.650',6.900
'0:02.655',7.000
'0:02.660',7.000
'0:02.665',6.900
'0:02.670',7.100
'0:02.675',6.900
'0:02.680',7.000
'0:02.685',6.900
'0:02.690',6.900
'0:02.695',7.000
'0:02.700',7.100
'0:02.705',7.100
'0:02.710',7.000
'0:02.715',7.000
'0:02.720',7.000
'0:02.725',7.100
'0:02.730',7.000
'0:02.735',7.000
'0:02.740',7.000
'0:02.745',7.000
'0:02.750',7.000
'0:02.755',7.000
'0:02.760',6.900
'0:02.765',6.800
'0:02.770',6.700
'0:02.775',6.900
'0:02.780',6.800
'0:02.785',6.900
'0:02.790',6.900
'0:02.795',7.000
'0:02.800',6.900
'0:02.805',6.900
'0:02.810',7.000
'0:02.815',7.100
'0:02.820',6.900
'0:02.825',7.000
'0:02.830',7.000
'0:02.835',7.000
'0:02.840',7.000
'0:02.845',6.900
'0:02.850',7.000
'0:02.855',6.900
'0:02.860',7.000
'0:02.865',6.900
'0:02.870',7.100
'0:02.875',7.100
'0:02.880',7.100
'0:02.885',7.100
'0:02.890',7.000
'0:02.895',7.000
'0:02.900',7.100
'0:02.905',7.000
'0:02.910',7.100
'0:02.915',7.000
'0:02.920',7.000
'0:02.925',7.200
'0:02.930',7.100
'0:02.935',7.100
'0:02.940',7.100
'0:02.945',7.100
'0:02.950',6.900
'0:02.955',7.100
'0:02.960',7.200
'0:02.965',7.100
'0:02.970',7.100
'0:02.975',7.100
'0:02.980',7.200
'0:02.985',7.100
'0:02.990',7.200
'0:02.995',7.000
'0:03.000',7.000
'0:03.005',7.100
'0:03.010',7.200
'0:03.015',7.200
'0:03.020',7.100
'0:03.025',7.200
'0:03.030',7.100
'0:03.035',7.000
'0:03.040',7.200
'0:03.045',7.200
'0:03.050',7.300
'0:03.055',7.300
'0:03.060',7.400
'0:03.065',7.200
'0:03.070',7.400
'0:03.075',7.400
'0:03.080',7.300
'0:03.085',7.100
'0:03.090',7.000
'0:03.095',7.100
'0:03.100',7.200
'0:03.105',7.200
'0:03.110',7.200
'0:03.115',7.100
'0:03.120',7.100
'0:03.125',7.300
'0:03.130',7.200
'0:03.135',7.100
'0:03.140',7.200
'0:03.145',7.100
'0:03.150',7.100
'0:03.155',7.100
'0:03.160',7.100
'0:03.165',7.200
'0:03.170',7.500
'0:03.175',8.300
'0:03.180',8.800
'0:03.185',8.900
'0:03.190',8.300
'0:03.195',7.400
'0:03.200',7.100
'0:03.205',7.100
'0:03.210',7.100
'0:03.215',7.100
'0:03.220',7.000
'0:03.225',7.200
'0:03.230',7.100
'0:03.235',7.100
'0:03.240',7.100
'0:03.245',7.100
'0:03.250',7.100
'0:03.255',7.100
'0:03.260',7.000
'0:03.265',7.000
'0:03.270',7.000
'0:03.275',7.100
'0:03.280',7.100
'0:03.285',7.100
'0:03.290',7.100
'0:03.295',7.000
'0:03.300',7.100
'0:03.305',7.100
'0:03.310',7.200
'0:03.315',7.000
'0:03.320',7.100
'0:03.325',7.100
'0:03.330',7.000
'0:03.335',7.100
'0:03.340',7.100
'0:03.345',7.100
'0:03.350',7.100
'0:03.355',7.000
'0:03.360',7.200
'0:03.365',7.000
'0:03.370',7.000
'0:03.375',7.100
'0:03.380',7.000
'0:03.385',7.000
'0:03.390',7.000
'0:03.395',7.100
'0:03.400',7.000
'0:03.405',7.200
'0:03.410',7.200
'0:03.415',7.100
'0:03.420',7.100
'0:03.425',7.100
'0:03.430',7.100
'0:03.435',7.200
'0:03.440',7.000
'0:03.445',7.000
'0:03.450',6.900
'0:03.455',6.900
'0:03.460',6.900
'0:03.465',7.100
'0:03.470',7.000
'0:03.475',7.200
'0:03.480',7.100
'0:03.485',7.200
'0:03.490',7.200
'0:03.495',7.300
'0:03.500',7.200
'0:03.505',7.100
'0:03.510',7.200
'0:03.515',7.200
'0:03.520',7.200
'0:03.525',7.100
'0:03.530',7.100
'0:03.535',7.000
'0:03.540',7.100
'0:03.545',7.200
'0:03.550',7.100
'0:03.555',7.000
'0:03.560',7.200
'0:03.565',7.000
'0:03.570',7.200
'0:03.575',7.200
'0:03.580',7.200
'0:03.585',7.100
'0:03.590',7.000
'0:03.595',7.200
'0:03.600',7.100
'0:03.605',7.200
'0:03.610',7.200
'0:03.615',7.000
'0:03.620',7.100
'0:03.625',7.300
'0:03.630',7.100
'0:03.635',6.900
'0:03.640',7.100
'0:03.645',7.000
'0:03.650',7.200
'0:03.655',7.100
'0:03.660',7.100
'0:03.665',7.100
'0:03.670',7.100
'0:03.675',7.200
'0:03.680',7.200
'0:03.685',7.300
'0:03.690',7.400
'0:03.695',7.300
'0:03.700',7.300
'0:03.705',7.200
'0:03.710',7.300
'0:03.715',7.300
'0:03.720',7.100
'0:03.725',7.200
'0:03.730',7.100
'0:03.735',7.100
'0:03.740',7.100
'0:03.745',7.000
'0:03.750',7.200
'0:03.755',7.200
'0:03.760',7.200
'0:03.765',7.200
'0:03.770',7.100
'0:03.775',7.100
'0:03.780',7.100
'0:03.785',7.100
'0:03.790',7.000
'0:03.795',7.200
'0:03.800',7.600
'0:03.805',8.200
'0:03.810',8.900
'0:03.815',8.800
'0:03.820',7.900
'0:03.825',7.200
'0:03.830',6.900
'0:03.835',7.100
'0:03.840',7.100
'0:03.845',7.100
'0:03.850',7.200
'0:03.855',7.000
'0:03.860',7.200
'0:03.865',7.000
'0:03.870',7.000
'0:03.875',7.100
'0:03.880',7.100
'0:03.885',7.100
'0:03.890',7.100
'0:03.895',6.900
'0:03.900',7.100
'0:03.905',7.000
'0:03.910',7.000
'0:03.915',7.100
'0:03.920',7.100
'0:03.925',7.100
'0:03.930',7.100
'0:03.935',7.000
'0:03.940',7.000
'0:03.945',7.200
'0:03.950',7.100
'0:03.955',7.200
'0:03.960',7.200
'0:03.965',7.000
'0:03.970',7.200
'0:03.975',7.300
'0:03.980',7.100
'0:03.985',7.100
'0:03.990',7.100
'0:03.995',7.100
'0:04.000',7.100
'0:04.005',7.000
'0:04.010',7.200
'0:04.015',7.100
'0:04.020',7.100
'0:04.025',7.200
'0:04.030',7.200
'0:04.035',7.200
'0:04.040',7.100
'0:04.045',7.100
'0:04.050',7.100
'0:04.055',7.200
'0:04.060',7.200
'0:04.065',7.100
'0:04.070',7.100
'0:04.075',7.300
'0:04.080',7.100
'0:04.085',7.000
'0:04.090',7.100
'0:04.095',7.000
'0:04.100',7.100
'0:04.105',7.100
'0:04.110',7.200
'0:04.115',7.200
'0:04.120',7.100
'0:04.125',7.200
'0:04.130',7.200
'0:04.135',7.000
'0:04.140',7.000
'0:04.145',7.000
'0:04.150',7.000
'0:04.155',7.200
'0:04.160',7.200
'0:04.165',7.200
'0:04.170',7.000
'0:04.175',7.100
'0:04.180',7.100
'0:04.185',7.000
'0:04.190',7.100
'0:04.195',7.100
'0:04.200',7.000
'0:04.205',7.100
'0:04.210',7.100
'0:04.215',7.000
'0:04.220',7.100
'0:04.225',7.100
'0:04.230',7.000
'0:04.235',7.000
'0:04.240',7.100
'0:04.245',6.900
'0:04.250',7.100
'0:04.255',7.200
'0:04.260',7.200
'0:04.265',7.200
'0:04.270',7.000
'0:04.275',7.000
'0:04.280',7.000
'0:04.285',6.900
'0:04.290',7.000
'0:04.295',7.100
'0:04.300',7.200
'0:04.305',7.200
'0:04.310',7.300
'0:04.315',7.300
'0:04.320',7.200
'0:04.325',7.300
'0:04.330',7.100
'0:04.335',7.000
'0:04.340',6.900
'0:04.345',7.100
'0:04.350',7.100
'0:04.355',7.200
'0:04.360',7.100
'0:04.365',7.100
'0:04.370',7.000
'0:04.375',7.100
'0:04.380',7.100
'0:04.385',7.100
'0:04.390',7.200
'0:04.395',7.200
'0:04.400',7.200
'0:04.405',6.900
'0:04.410',7.000
'0:04.415',7.000
'0:04.420',7.100
'0:04.425',7.800
'0:04.430',8.300
'0:04.435',8.700
'0:04.440',8.300
'0:04.445',7.500
'0:04.450',7.000
'0:04.455',6.900
'0:04.460',7.000
'0:04.465',7.000
'0:04.470',6.900
'0:04.475',6.900
'0:04.480',6.900
'0:04.485',7.000
'0:04.490',6.900
'0:04.495',6.900
'0:04.500',7.000
'0:04.505',7.000
'0:04.510',7.000
'0:04.515',6.900
'0:04.520',7.000
'0:04.525',7.100
'0:04.530',7.000
'0:04.535',6.900
'0:04.540',6.900
'0:04.545',7.000
'0:04.550',7.100
'0:04.555',7.000
'0:04.560',7.000
'0:04.565',7.000
'0:04.570',7.100
'0:04.575',7.100
'0:04.580',7.000
'0:04.585',7.100
'0:04.590',7.000
'0:04.595',7.000
'0:04.600',7.000
'0:04.605',7.100
'0:04.610',7.000
'0:04.615',7.000
'0:04.620',7.100
'0:04.625',7.100
'0:04.630',7.000
'0:04.635',7.000
'0:04.640',6.900
'0:04.645',6.900
'0:04.650',6.900
'0:04.655',6.900
'0:04.660',7.000
'0:04.665',6.900
'0:04.670',7.000
'0:04.675',7.000
'0:04.680',7.000
'0:04.685',7.000
'0:04.690',6.900
'0:04.695',6.900
'0:04.700',7.000
'0:04.705',7.000
'0:04.710',7.000
'0:04.715',7.000
'0:04.720',7.100
'0:04.725',7.000
'0:04.730',6.900
'0:04.735',7.100
'0:04.740',7.000
'0:04.745',7.100
'0:04.750',7.100
'0:04.755',7.100
'0:04.760',7.000
'0:04.765',7.100
'0:04.770',7.200
'0:04.775',7.100
'0:04.780',7.000
'0:04.785',7.100
'0:04.790',7.000
'0:04.795',7.100
'0:04.800',7.000
'0:04.805',7.000
'0:04.810',7.000
'0:04.815',7.100
'0:04.820',7.200
'0:04.825',7.200
'0:04.830',7.100
'0:04.835',7.200
'0:04.840',7.100
'0:04.845',7.100
'0:04.850',7.100
'0:04.855',7.100
'0:04.860',7.100
'0:04.865',7.200
'0:04.870',7.100
'0:04.875',7.100
'0:04.880',7.200
'0:04.885',7.100
'0:04.890',7.200
'0:04.895',7.200
'0:04.900',7.200
'0:04.905',7.200
'0:04.910',7.200
'0:04.915',7.100
'0:04.920',7.100
'0:04.925',7.200
'0:04.930',7.100
'0:04.935',7.100
'0:04.940',7.000
'0:04.945',7.100
'0:04.950',7.100
'0:04.955',7.200
'0:04.960',7.200
'0:04.965',7.200
'0:04.970',7.300
'0:04.975',7.200
'0:04.980',7.300
'0:04.985',7.300
'0:04.990',7.300
'0:04.995',7.200
'0:05.000',7.100
'0:05.005',7.000
'0:05.010',7.200
'0:05.015',7.100
'0:05.020',7.100
'0:05.025',7.000
'0:05.030',7.000
'0:05.035',7.000
'0:05.040',7.100
'0:05.045',7.200
'0:05.050',7.200
'0:05.055',7.000
'0:05.060',7.200
'0:05.065',7.100
'0:05.070',7.000
'0:05.075',7.200
'0:05.080',7.600
'0:05.085',8.400
'0:05.090',8.900
'0:05.095',8.900
'0:05.100',8.200
'0:05.105',7.400
'0:05.110',7.100
'0:05.115',7.000
'0:05.120',6.900
'0:05.125',7.000
'0:05.130',6.900
'0:05.135',6.900
'0:05.140',6.900
'0:05.145',6.900
'0:05.150',6.900
'0:05.155',7.000
'0:05.160',6.900
'0:05.165',6.900
'0:05.170',6.900
'0:05.175',6.900
'0:05.180',6.900
'0:05.185',6.900
'0:05.190',6.900
'0:05.195',6.900
'0:05.200',7.000
'0:05.205',6.900
'0:05.210',6.900
'0:05.215',6.900
'0:05.220',6.900
'0:05.225',6.900
'0:05.230',7.000
'0:05.235',6.900
'0:05.240',6.900
'0:05.245',7.000
'0:05.250',6.900
'0:05.255',6.900
'0:05.260',6.800
'0:05.265',6.800
'0:05.270',6.900
'0:05.275',6.800
'0:05.280',6.900
'0:05.285',6.800
'0:05.290',6.900
'0:05.295',7.000
'0:05.300',7.000
'0:05.305',6.900
'0:05.310',6.900
'0:05.315',6.900
'0:05.320',7.000
'0:05.325',7.000
'0:05.330',6.900
'0:05.335',6.900
'0:05.340',7.000
'0:05.345',6.900
'0:05.350',6.900
'0:05.355',7.000
'0:05.360',7.200
'0:05.365',7.100
'0:05.370',7.000
'0:05.375',7.000
'0:05.380',7.100
'0:05.385',7.000
'0:05.390',7.100
'0:05.395',7.000
'0:05.400',7.000
'0:05.405',6.900
'0:05.410',7.000
'0:05.415',7.000
'0:05.420',7.000
'0:05.425',7.000
'0:05.430',6.900
'0:05.435',7.000
'0:05.440',6.900
'0:05.445',7.000
'0:05.450',6.900
'0:05.455',7.000
'0:05.460',7.100
'0:05.465',6.900
'0:05.470',7.100
'0:05.475',7.100
'0:05.480',7.000
'0:05.485',7.200
'0:05.490',7.100
'0:05.495',7.000
'0:05.500',7.000
'0:05.505',7.000
'0:05.510',7.100
'0:05.515',7.000
'0:05.520',7.200
'0:05.525',7.200
'0:05.530',7.200
'0:05.535',7.100
'0:05.540',7.100
'0:05.545',7.000
'0:05.550',6.900
'0:05.555',6.900
'0:05.560',7.000
'0:05.565',7.000
'0:05.570',7.000
'0:05.575',7.100
'0:05.580',7.000
'0:05.585',7.100
'0:05.590',6.900
'0:05.595',6.900
'0:05.600',7.000
'0:05.605',7.100
'0:05.610',7.000
'0:05.615',7.000
'0:05.620',7.100
'0:05.625',7.000
'0:05.630',7.000
'0:05.635',7.000
'0:05.640',7.000
'0:05.645',7.000
'0:05.650',7.000
'0:05.655',7.200
'0:05.660',7.300
'0:05.665',7.200
'0:05.670',7.200
'0:05.675',7.100
'0:05.680',7.200
'0:05.685',7.100
'0:05.690',7.100
'0:05.695',7.000
'0:05.700',7.200
'0:05.705',7.100
'0:05.710',7.100
'0:05.715',7.100
'0:05.720',7.200
'0:05.725',7.100
'0:05.730',7.100
'0:05.735',7.200
'0:05.740',7.100
'0:05.745',7.000
'0:05.750',7.000
'0:05.755',7.000
'0:05.760',7.100
'0:05.765',7.000
'0:05.770',7.400
'0:05.775',8.300
'0:05.780',8.800
'0:05.785',9.000
'0:05.790',8.400
'0:05.795',7.400
'0:05.800',7.100
'0:05.805',7.100
'0:05.810',7.000
'0:05.815',6.800
'0:05.820',6.900
'0:05.825',7.000
'0:05.830',6.900
'0:05.835',6.900
'0:05.840',7.000
'0:05.845',7.000
'0:05.850',6.900
'0:05.855',6.900
'0:05.860',7.000
'0:05.865',7.000
'0:05.870',6.900
'0:05.875',7.000
'0:05.880',6.900
'0:05.885',7.000
'0:05.890',6.900
'0:05.895',7.000
'0:05.900',6.900
'0:05.905',6.900
'0:05.910',7.000
'0:05.915',7.100
'0:05.920',7.000
'0:05.925',7.000
'0:05.930',6.900
'0:05.935',6.900
'0:05.940',6.900
'0:05.945',6.900
'0:05.950',6.900
'0:05.955',6.900
'0:05.960',6.900
'0:05.965',6.900
'0:05.970',6.900
'0:05.975',6.900
'0:05.980',6.800
'0:05.985',6.800
'0:05.990',6.800
'0:05.995',6.700
'0:06.000',7.000
'0:06.005',6.800
'0:06.010',6.900
'0:06.015',6.900
'0:06.020',7.000
'0:06.025',7.000
'0:06.030',7.000
'0:06.035',6.800
'0:06.040',7.000
'0:06.045',6.900
'0:06.050',7.000
'0:06.055',6.900
'0:06.060',7.000
'0:06.065',7.100
'0:06.070',7.100
'0:06.075',7.100
'0:06.080',7.000
'0:06.085',7.000
'0:06.090',7.100
'0:06.095',7.000
'0:06.100',7.100
'0:06.105',7.000
'0:06.110',7.200
'0:06.115',7.000
'0:06.120',7.100
'0:06.125',7.100
'0:06.130',7.100
'0:06.135',7.100
'0:06.140',7.000
'0:06.145',7.100
'0:06.150',7.100
'0:06.155',7.100
'0:06.160',7.100
'0:06.165',7.100
'0:06.170',7.100
'0:06.175',7.200
'0:06.180',7.000
'0:06.185',6.900
'0:06.190',7.100
'0:06.195',7.200
'0:06.200',7.100
'0:06.205',7.000
'0:06.210',7.200
'0:06.215',7.200
'0:06.220',7.100
'0:06.225',7.100
'0:06.230',7.000
'0:06.235',7.100
'0:06.240',7.000
'0:06.245',7.100
'0:06.250',7.100
'0:06.255',7.000
'0:06.260',7.100
'0:06.265',7.000
'0:06.270',7.100
'0:06.275',7.100
'0:06.280',7.000
'0:06.285',7.000
'0:06.290',7.100
'0:06.295',7.000
'0:06.300',7.100
'0:06.305',7.000
'0:06.310',7.000
'0:06.315',7.000
'0:06.320',7.000
'0:06.325',7.000
'0:06.330',7.100
'0:06.335',7.000
